지역,소재지,시설명,주소,연락처
제주특별자치도,제주시,한국불교태고종 극락사 안양원,제주특별자치도 제주시 애월읍 중산간서로 6322 (상귀리),064-713-1682
충청남도,논산시,무궁화추모공원,충청남도 논산시 벌곡면 황룡재로553번길 148-71 (양산리),041-734-3844
경상남도,창원시진해구,창원시립진해천자원,경상남도 창원시 진해구 진해대로 1426-51 (제덕동),055-712-0844
서울특별시,중구,중구추모의집,경기도 화성시 향남읍 서봉로755번길 17-15(동오리),031-354-2325
충청북도,제천시,제천시영원한쉼터봉안당,충청북도 제천시 송학면 포전리 373번지 외,043-644-6613
강원특별자치도,홍천군,천봉사 봉안당,강원특별자치도 홍천군 서면 팔봉산로 118 (대곡리),033-435-8941
전라남도,순천시,순천시립추모공원 2봉안당,전라남도 순천시 양율길 132 (야흥동),061-749-6168
경상남도,창원시,창원공원묘원 납골당,경상남도 창원시 마산합포구 진동면 공원묘원로 232 (인곡리),055-271-1700
경기도,파주시,천주교평화의문,경기도 파주시 탄현면 성동로 111 (성동리),031-941-6805
전라남도,목포시,에덴추모원,전라남도 목포시 용당로384번길 34 (용해동),061-272-0400
부산광역시,기장군,백운공원묘원 제2묘원,"부산광역시 기장군 정관읍 양수1길 17-5 (모전리, 백운묘원관리소)",051-727-3188
충청남도,태안군,태안군 영묘전,"충청남도 태안군 남면 저드래길 116-304 (당암리, 태안군공설영묘)",041-675-1809
강원특별자치도,양양군,양양군공설묘원 봉안당,강원특별자치도 양양군 양양읍 남대천로 251-123 (월리),033-670-2341
전라남도,완도군,대한불교조계종 신흥사,"전라남도 완도군 완도읍 청해진남로 101-1 (군내리, 신흥사)",061-554-2634
충청북도,음성군,(재)대지공원묘원 봉안당,충청북도 음성군 생극면 오신로 504-63 (신양리),043-878-3854
경기도,남양주시,재단법인청림공원(봉안당),"경기도 남양주시 진건읍 사릉로156번길 295 (송능리, 봉인사)",031-527-5678
충청북도,제천시,청풍추모공원,충청북도 제천시 금성면 신담길 46 (월굴리),043-644-4441
경상북도,경주시,진목정성지 하늘원,경상북도 경주시 산내면 수의길 192 (내일리),054-751-6488
전북특별자치도,부안군,용화사 봉안당,"전라북도 부안군 행안면 미륵골길 43 (역리, 용화사)",063-584-4919
경상북도,영천시,(재)아미티우스 봉안탑,"경상북도 영천시 북안면 내서로 139-17 (고지리, 만불사)",054-336-9004
제주특별자치도,제주시,양지공원 제3추모의집,"제주특별자치도 제주시 516로 2810-31 (영평동, 양지공원)",064-710-6622
경상남도,하동군,금오영당,경상남도 하동군 진교면 달구지길 95-5 (술상리),055-883-9508
전라남도,순천시,순천시립추모공원 1봉안당,전라남도 순천시 양율길 132 (야흥동),061-749-6168
경상남도,창원시마산합포구,창원시립마산영생원,"경상남도 창원시 마산합포구 진동면 공원묘원로 136-106 (인곡리, 영생원)",055-712-0225
경기도,연천군,중앙추모공원(봉안시설),경기도 연천군 미산면 마유로 58-38 (백석리),031-833-7737
경기도,수원시영통구,수원시연화장 제2추모의집,"경기도 수원시 영통구 광교호수로 278 (하동, 수원시연화장)",031-218-6524
충청남도,공주시,(사)조계정토불교총원 봉안당,충청남도 공주시 정안면 사현리 산118-1,1599-9914
충청남도,금산군,(재)평화공원 파라다이스 추모관,충청남도 금산군 복수면 앞재길 21-48 (신대리),041-752-8503
경기도,포천시,광릉추모공원(봉안시설),경기도 포천시 내촌면 부마로 341 (마명리),031-532-2520
경상북도,성주군,(재)우성공원 영남납골당(무연고),"경상북도 성주군 선남면 관용로 470-54 (용신리, 우성공원사무소)",054-933-4774
경상남도,김해시,김해하늘공원(봉안),경상남도 김해시 생림면 생림대로928번길 10-91 (봉림리),055-335-9716
경상남도,진주시,감로복지원 진주추모공원,경상남도 진주시 대평면 원당길158번길 6 (당촌리),055-758-0090
경기도,용인시처인구,(재)용인공원(아너스톤),"경기도 용인시 처인구 모현읍 새래로 158-33 (초부리, 용인공원묘지)",031-334-3484
전라남도,목포시,목포추모공원 추모의집,전라남도 목포시 고하대로 1140-41 (대양동),061-270-8723
경기도,가평군,상락향 극락전,"경기도 가평군 청평면 남이터길 65 (대성리, 상락향수도원)",031-584-0657
경상남도,창원시마산합포구,창원공원묘원 봉안시설,경상남도 창원시 마산합포구 진동면 공원묘원로 134 (인곡리),055-271-1700
충청남도,천안시서북구,천안노블랜드하늘공원 봉안당,충청남도 천안시 서북구 입장면 시장리2길 77 (시장리),041-587-2100
경기도,구리시,밀알교회 CATACOMB,경기도 구리시 코스모스길215번길 96 (토평동),031-556-1005
전라남도,함평군,천일추모공원,전라남도 함평군 월야면 밀재로 1827 (외치리),061-322-1106
서울특별시,종로구,종로구추모의집,경기도 화성시 향남읍 서봉로755번길 17-15(동오리),031-354-2325
경상남도,합천군,합천군공설봉안담,경상남도 합천군 율곡면 제내리 산45,055-930-4745
경기도,안산시,(재)안양공원묘원,"경기도 안산시 상록구 오리골길 41 (양상동, 공동묘지관리소)",031-482-2949
전라남도,보성군,존제산 일월사 설법전,전라남도 보성군 율어면 유신길 195 (유신리),061-853-2003
부산광역시,기장군,부산추모공원 봉안당,"부산광역시 기장군 정관읍 정관로 225 (두명리, 부산추모공원)",051-790-5100
충청남도,서천군,서천군영명각,충청남도 서천군 판교면 심동리 산 73-1번지,041-950-4347
충청남도,홍성군,(재)유명추모공원,충청남도 홍성군 금마면 금마로516번길 64-22 (봉서리),041-631-9971
충청북도,영동군,영동군 공설봉안묘,충청북도 영동군 영동읍 오탄리 산45,043-740-3358
경상남도,통영시,용봉사 납골당,경상남도 통영시 광도면 향교옆길 71-26 (죽림리),055-649-5959
경상북도,포항시,금강사추모관,경상북도 포항시 북구 침촌마을길 213-7 (양덕동),054-253-3398
경기도,성남시분당구,봉안당 홈,경기도 성남시 분당구 판교로 808 (야탑동),031-776-1700
경상남도,사천시,국원하늘정원,"경상남도 사천시 곤명면 막골길 267-195 (마곡리, 은적납골공원)",055-853-9004
충청남도,아산시,아산시공설봉안당,충청남도 아산시 송악면 외암로 30-30 (거산리),041-538-1940
경기도,고양시,일산푸른솔추모공원,경기도 고양시 일산동구 성현로 426-32 (문봉동),031-926-2304
충청남도,계룡시,재단법인 아너스홈,"충청남도 계룡시 두마면 제1산단로 132, 재단법인 아너스홈",042-585-0536
강원특별자치도,원주시,하늘원추모관,"강원특별자치도 원주시 흥업면 사제로 539 (사제리, 하늘원장례예식장)",033-763-0999
경기도,화성시,화성시추모공원,"경기도 화성시 비봉면 주석로 545 (청요리, 화성시추모공원)",031-356-9272
대구광역시,동구,동해사,대구광역시 동구 팔공산로292길 47 (백안동),053-981-3181
경상남도,거창군,학천사 봉안당,"경상남도 거창군 가조면 기리5길 15 (기리, 학천사)",055-945-1114
강원특별자치도,고성군,고성군추모의집,"강원도 고성군 죽왕면 공설묘원길 47 (가진리, 추모의집)",033-682-4448
전북특별자치도,전주시완산구,자임추모공원,"전라북도 전주시 완산구 콩쥐팥쥐로 1705-108 (효자동3가, 대복전)",063-236-2294
경기도,광주시,삼성개발공원묘원(봉안),경기도 광주시 오포로 211-50 (능평동),031-766-4260
강원특별자치도,속초시,속초시공설봉안묘,강원특별자치도 속초시 이목로 196 (노학동),033-635-7023
경상남도,밀양시,대한불교조계종 천탑사(봉안당),경상남도 밀양시 삼랑진읍 화성길 13-47 (미전리),055-351-4440
경기도,안성시,한국불교태고종 상월사,경기도 안성시 양성면 천덕산로 919 (동항리),031-674-3542
대전광역시,유성구,대한불교조계종 해운봉안당,대전광역시 유성구 북유성대로 487번길 130 (안산동),042-822-2377
전북특별자치도,군산시,(재)성산공원,"전라북도 군산시 성산면 왕골로 239-29 (대명리, 성산공원)",063-453-5510
경상남도,사천시,사천시누리원(봉안시설),"경상남도 사천시 해안관광로 208-66 (송포동, 사천공설화장장)",055-831-4590
제주특별자치도,제주시,영락원 봉안당,제주특별자치도 제주시 산록북로 660 (아라일동),064-759-6666
경상북도,칠곡군,(재)청구공원 봉안당,"경상북도 칠곡군 지천면 백송로 258 (백운리, 청구공원)",054-972-1382
경상남도,창원시성산구,창원시립상복공원 제2봉안당,"경상남도 창원시 성산구 공단로474번길 160 (상복동, 창원시립상복공원)",055-712-0925
경기도,성남시중원구,성남장례문화사업소 하늘누리 제2추모원,"경기도 성남시 중원구 순암로 787 (갈현동, 장례문화사업소)",031-754-2268
서울특별시,서울특별시,용미리건물식추모의집,"경기도 파주시 광탄면 진지로 151 (용미리, 추모의집)",031-943-3937
서울특별시,서대문구,서대문구추모의집,충청북도 음성군 금왕읍 덕금로 936-61 (용계리),043-881-4700
경기도,가평군,상락향 가족봉안묘,"경기도 가평군 청평면 남이터길 65 (대성리, 상락향수도원)",031-584-0657
경상남도,거창군,가북공설공원묘지 봉안당,경상남도 거창군 가북면 용암리 산125,055-940-3124
서울특별시,성북구,성북구추모의집,경기도 화성시 향남읍 서봉로755번길 17-15 (동오리),031-354-2325
인천광역시,부평구,인천가족공원 별빛당,인천광역시 부평구 평온로 61 (부평동),032-456-8950
강원특별자치도,태백시,태백시납골당,"강원도 태백시 백두대간로 844 (창죽동, 태백공동묘지)",033-550-2844
충청북도,충주시,(재)진달래문화재단 봉안묘,충청북도 충주시 앙성면 와평2길 84 (지당리),043-855-4444
대구광역시,남구,극락사추모공원,"대구광역시 남구 명덕로54길 31 (이천동, 서봉극락암)",053-473-2002
경상남도,사천시,대한불교관음회조계종 백천사,"경상남도 사천시 백천길 326-2 (백천동, 백천사)",055-834-4010
대구광역시,달성군,덕안사 봉안당,"대구광역시 달성군 가창면 가창로216길 38 (용계리, 덕안사)",053-621-4444
세종특별자치시,세종특별자치시,숲속의 부활의집,세종특별자치시 전동면 솔티로 615 (송성리),044-863-8537
충청남도,아산시,보석교회 헤븐스,충청남도 아산시 배방읍 고불로 129-26 (수철리),041-568-9993
강원특별자치도,동해시,동해시매화당,"강원특별자치도 동해시 강원남부로 4589 (단봉동, 동해시하늘정원)",033-530-2894
강원특별자치도,태백시,태백시납골묘,"강원특별자치도 태백시 백두대간로 844 (창죽동, 태백공동묘지)",033-550-2844
경기도,성남시분당구,(재)분당메모리얼파크,경기도 성남시 분당구 새나리로 79 (야탑동),031-704-6508
제주특별자치도,서귀포시,성산읍공설봉안당,제주특별자치도 서귀포시 성산읍 금백조로 548 (수산리),064-760-4234
경기도,광주시,(재)시안 가족추모공원(봉안),경기도 광주시 오포안로 17 (문형동),031-766-2894
충청북도,제천시,월명사 봉안탑,충청북도 제천시 송학면 시곡길 81 (시곡리),043-643-4733
충청북도,제천시,통도사 봉안탑,충청북도 제천시 봉양읍 명암로9길 105 (명암리),043-651-3636
충청남도,홍성군,홍성추모공원봉안당,충남 홍성군 금마면 금마로516번길 85,041-633-7780
경기도,평택시,평택시립추모공원,경기도 평택시 청북읍 청북로 457-6 (율북리),031-683-3939
인천광역시,남동구,천주교 인천교구 고잔성당 몽은당,"인천광역시 남동구 논현고잔로128번길 32, 고잔성당 (고잔동)",032-442-9174
경기도,양주시,경신하늘뜰공원 봉안당,"경기도 양주시 남면 화합로430번길 98(경신리, 경신하늘뜰공원)",031-861-5791
충청북도,청주시,청주시목련공원 제1목련당,충청북도 청주시 상당구 목련로 731 (월오동),043-270-8578
충청남도,아산시,아산추모공원 휴온 봉안당,충청남도 아산시 송악면 외암로 55-15 (거산리),02-502-9984
경상북도,성주군,(재)우성공원 봉안당,"경상북도 성주군 선남면 관용로 470-54 (용신리, 우성공원사무소)",054-933-4774
경상남도,함안군,미래사,"경상남도 함안군 여항면 여항로 75 (외암리, 미륵정사)",055-583-5637
충청남도,당진시,대호지공설묘지봉안묘,"충청남도 당진시 대호지면 봉선길 123 (장정리, 어성정공동묘지)",041-353-3044
충청북도,충주시,(재)생활불교 봉안당,충청북도 충주시 엄정면 향림길 314 (용산리),043-851-4114
경기도,하남시,하남시 마루공원(봉안시설),경기도 하남시 하남대로545번길 22-30 (천현동),031-795-2222
경기도,파주시,(재)서현추모공원,경기도 파주시 광탄면 명봉산로 277 (용미리),031-947-4114
경상남도,밀양시,대한불교조계종 삼봉사 봉안당,경상남도 밀양시 삼랑진읍 단장로 379-8 (우곡리),1577-3444
경상남도,밀양시,(재)밀양추모공원묘원,경상남도 밀양시 무안면 창밀로 2890-150 (운정리),070-8230-1009
충청북도,음성군,무지개추모공원 봉안당(다래원),충청북도 음성군 생극면 오신로445번길 77 (신양리),043-883-4449
충청북도,청주시상당구,풍주선원 봉안탑,"충청북도 청주시 상당구 명암로98번길 116 (명암동, 풍주사)",043-256-5585
전라남도,화순군,대한불교관음종불문사,"전라남도 화순군 도곡면 고인돌1로 282-65 (효산리, 불문사)",061-372-4567
경기도,오산시,오산시립쉼터공원,경기도 오산시 가장산업동로 69-21 (가장동),031-378-9681
강원특별자치도,횡성군,횡성군공설추모공원 추모관,강원특별자치도 횡성군 갑천면 태기로구방8길 132 (구방리),033-340-2904
강원특별자치도,춘천시,(주)광림공원 동산공원묘원(봉안),"강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)",1577-9446
경상남도,김해시,경남영묘원,"경상남도 김해시 상동면 소락로 23 (묵방리, 신어공원추모관)",055-329-4844
전라남도,담양군,관음사추모관,전라남도 담양군 담양읍 깊은실길 35 (학동리),061-383-6697
강원특별자치도,인제군,하늘내린 휴공원(무연단),강원특별자치도 인제군 남면 자작나무숲길 444-62 (남전리),033-460-2056
서울특별시,도봉구,도봉구추모의집,경기도 화성시 향남읍 서봉로755번길 17-15(동오리),031-354-2325
전라남도,곡성군,(재)아름다운 청계공원,전라남도 곡성군 곡성읍 청계동로 457 (신기리),061-362-1199
인천광역시,남동구,약사사지장전추모관,인천광역시 남동구 풀무로 48 (간석동),032-429-4441
제주특별자치도,제주시,한림읍 공설봉안묘(만장),제주특별자치도 제주시 한림읍 금악리 8-124,064-728-7626
충청북도,제천시,(재)천주교원주교구 배론성지,충청북도 제천시 봉양읍 배론성지길 296 (구학리),043-651-4527
대구광역시,대구광역시,대구광역시 낙산제2추모의집,경상북도 칠곡군 지천면 낙산로 87 (낙산리),053-312-0348
경기도,광주시,분당추모공원휴,경기도 광주시 오포읍 오포로 211-49 (능평리),031-762-3000
전라남도,담양군,대한예수교장로회빛고을교회대덕스카이캐슬,전라남도 담양군 대덕면 문학리 산 105,061-938-9830
충청남도,예산군,(재)화산추모공원(봉안),충청남도 예산군 대술면 대술로 574-57 (화산리),041-332-2284
경기도,광주시,(재)자하연분당,경기도 광주시 오포읍 대명대길 57 (능평리),031-719-2780
인천광역시,강화군,강화파라다이스 강화지점 봉안탑,인천광역시 강화군 송해면 강화대로 879-16 (하도리),032-934-4781
충청남도,당진시,솔뫼공설묘지봉안묘,충청남도 당진시 우강면 우강송산로 64 (송산리),041-363-4786
강원특별자치도,강릉시,청솔공원 가족봉안당,"강원특별자치도 강릉시 사천면 청솔공원길 334 (석교리, 청솔공원관리사무소)",033-640-5013
경상북도,영주시,천태사추모공원,경상북도 영주시 순흥면 태장로 179-27 (태장리),054-635-2909
경상북도,경주시,용주사 봉안당,경상북도 경주시 서면 하늘마루길 328 (도리),054-753-5678
경기도,이천시,재단법인 에덴낙원,경기도 이천시 마장면 서이천로 449-82 (목리),031-645-9191
경상남도,산청군,산청군공설묘지 봉안묘,"경상남도 산청군 신등면 신등가회로 357-17 (가술리, 본향원)",055-973-2491
경상북도,칠곡군,칠곡군공설봉안당,경상북도 칠곡군 지천면 낙산로1길 127-33 (낙산리),053-312-1755
강원특별자치도,홍천군,영원한도움의성모성전 납골당,강원특별자치도 홍천군 남면 물구비길 151 (신대리),
충청남도,논산시,성불사 봉안당,충청남도 논산시 상월면 상월로486번길 81 (대명리),041-734-0545
경기도,양평군,(사)대승불교조계종,경기도 양평군 청운면 벗고갯길 45-20 (가현리),031-774-4415
전라남도,고흥군,국립소록도병원 만령당,"전라남도 고흥군 도양읍 소록해안길 65 (소록리, 국립소록도병원)",061-840-0500
강원특별자치도,인제군,하늘내린 휴공원(개인단),강원특별자치도 인제군 남면 자작나무숲길 444-62 (남전리),033-460-2056
경기도,평택시,(재)서호추모공원,경기도 평택시 청북읍 고렴길 161-12 (고렴리),031-683-4505
충청북도,청주시,청주시목련공원 제2목련당,"충청북도 청주시 상당구 목련로 731 (월오동, 목련장례식장)",043-270-8578
서울특별시,관악구,대한불교조계종관음사,서울특별시 관악구 승방1길 109-80 (남현동),02-582-8609
전북특별자치도,고창군,고창군추모의집,"전라북도 고창군 부안면 복분자로 559 (용산리, 고창군추모의집)",063-563-4994
경기도,용인시처인구,(재)서울공원묘원 봉안담,"경기도 용인시 처인구 이동읍 백자로 41 (서리, 서울공원묘원사무실)",031-332-2444
경상남도,함안군,마애사방어암,"경상남도 함안군 군북면 하림2길 181-78 (하림리, 마애사)",055-585-5114
충청북도,진천군,성림사 연화납골당(봉안탑),"충청북도 진천군 덕산읍 인화길 83 (산수리, 성림사)",043-536-4617
충청남도,당진시,대호지공설묘지(개인봉안묘),"충청남도 당진시 대호지면 봉선길 123 (장정리, 어성정공동묘지)",041-353-3044
인천광역시,서구,천주교 인천교구 하늘의문,"인천광역시 서구 드림로 472 (당하동, 하늘의문묘지)",032-564-4131
